date,population,admission,release
2024-02-18,107009.3174032849,2020.0535200160273,1399.8319908915507
2024-02-19,107289.03893240937,1679.5535200160273,1777.831990891551
2024-02-20,107606.76046153386,2093.9582819207894,3356.189133748693
2024-02-21,107134.02960970595,2883.458281920789,3237.9916978512574
2024-02-22,106832.9115783909,2949.7715603090674,3174.4824487670085
2024-02-23,106561.95128517102,2905.455488880496,3024.415782100342
2024-02-24,106694.49099195117,3132.3700187950258,1324.6850128695728
2024-02-25,107492.1161688168,2122.310189735197,1383.1850128695728
2024-02-26,107901.74134568241,1791.210189735197,3481.3739017584617
2024-02-27,107251.09985588139,2833.676856401864,3339.3183462029056
2024-02-28,106781.95836608033,2869.176856401864,3207.874756459316
2024-02-29,106342.29892756135,2765.165457996348,3103.3984259271033
2024-03-01,106135.44761229165,2898.7971106574128,3032.5373148159924
2024-03-02,106402.73518591086,3290.858221768523,1612.5706481493257
2024-03-03,106864.4560928634,2073.7915551018564,1375.5706481493257
2024-03-04,107403.17699981593,1912.208221768523,3328.2524663311438
2024-03-05,106914.89790676846,2837.1761704864725,3293.0706481493253
2024-03-06,106653.36881372098,2971.5415551018564,3148.6470370382144
2024-03-07,106425.58972067352,2905.1923487526506,3174.5762037048817
2024-03-08,106339.14396095938,3088.6304439907453,2885.742870371548
2024-03-09,106494.8315345786,3043.163777324079,1349.1428703715483
2024-03-10,107198.51910819777,2052.830443990745,1408.642870371548
2024-03-11,107563.70668181696,1773.8304439907454,3549.2539814826587
2024-03-12,106772.0053665473,2756.941555101857,2847.4238227525
2024-03-13,106912.48024175379,2917.6308080507433,3222.8488227525
2024-03-14,106678.78011696028,2987.326475736778,3401.417076720754
2024-03-15,106407.39784930965,3128.7166272519294,3005.2504100540878
2024-03-16,106662.01558165898,3260.034809070111,1372.8170767207544
2024-03-17,107508.13331400833,2217.3348090701106,1428.8170767207544
2024-03-18,108136.2510463577,1842.5062376415392,3471.128981482659
2024-03-19,107316.71163584992,2651.339570974873,3064.691347074057
2024-03-20,107165.59695652494,2915.976667749066,3161.5913470740566
2024-03-21,106220.87116608881,2910.6988899712887,3305.0246804073904
2024-03-22,105956.47870898606,3011.7669635643624,2962.0246804073904
2024-03-23,106083.33625188329,3088.882223304622,1348.577871896752
2024-03-24,106900.24698626986,2163.0886062833447,1490.077871896752
2024-03-25,107635.15772065648,2225.4886062833457,3804.7445385634187
